A. 业务细分年度汇总—全业务,,,,,,,,,,
📌 segment_code(8个); 2026批核=生效+issue_year=2026; 合计行达成率=合计批核APE÷合计目标APE,,,,,,,,,,
业务细分,目标APE,达成率,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,合计APE,合计件数
BK业务,13862160,7363200,14820000,7332000,6084000,9594000,6240000,65295360
同行经代,6156004,3985200,13147207,13841844,16082076,20465327,3283360,76961018
永明经代,17009555,16105431,25541820,15677534,19734930,22956573,5202202,122228045
合伙转介业务,436800,79800,1755000,420091,44748,4056000,0,6792439
ICLUB业务,390000,109200,18813,0,8798,0,0,526811
IFA业务,0,0,0,0,0,0,0,0
合计,42319058,29763339,67654498,46318072,62588341,63973671,16831562,329448541

F-件数. 月度预约业绩—永明 (件数),,,,,,,,
📌 res_ym；排除流失类 + carrier=香港永明金融有限公司,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
天领业务,16,11,25,23,44,26,5,150
成事家办,6,1,2,11,7,3,1,31
BK业务,17,8,22,12,9,16,10,94
同行经代,14,12,38,38,52,53,12,219
永明经代,53,48,76,35,47,72,16,347
合伙转介业务,2,1,5,3,2,3,0,16
ICLUB业务,1,2,1,0,1,0,0,5
IFA业务,0,0,0,0,0,0,0,0
合计,109,83,169,122,162,173,44,862

G-APE. 月度签单业绩—永明 (APE),,,,,,,,
📌 sign_ym；排除排期及流失 + carrier=香港永明金融有限公司,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
天领业务,1725539,3212508,10838958,8698424,17539245,7004715,156000,49175389
成事家办,1023000,390000,312000,690479,2739000,741000,0,5895479
BK业务,17138160,8377200,13260000,8502000,6084000,10764000,4680000,68805360
同行经代,2568004,6559200,13927207,13734504,15428616,19156739,4162948,75537218
永明经代,13744355,15228831,28386120,14796900,20377965,23879073,2993020,119406264
合伙转介业务,89809,436800,1834800,420091,44748,4056000,0,6882248
ICLUB业务,390000,109200,0,18813,8798,0,0,526811
IFA业务,0,0,0,0,0,0,0,0
合计,36678867,34313739,68559085,46861211,62222372,65601527,11991968,326228769

G-件数. 月度签单业绩—永明 (件数),,,,,,,,
📌 sign_ym；排除排期及流失 + carrier=香港永明金融有限公司,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
天领业务,14,12,22,24,36,35,1,144
成事家办,6,1,2,5,13,3,0,30
BK业务,16,10,18,14,9,19,7,93
同行经代,12,13,39,36,52,50,13,215
永明经代,43,52,79,31,50,73,13,341
合伙转介业务,1,2,6,3,2,3,0,17
ICLUB业务,1,2,0,1,1,0,0,5
IFA业务,0,0,0,0,0,0,0,0
合计,93,92,166,114,163,183,34,845

H-APE. 月度批核业绩—永明 (APE),,,,,,,,
📌 issue_ym；仅生效 + carrier=香港永明金融有限公司,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
天领业务,5315778,2871047,3276000,14356169,5302878,15264541,634488,47020901
成事家办,1344687,390000,468000,912600,1794000,555000,741000,6205287
BK业务,18259800,93940080,58699680,27222000,21703560,6240000,1560000,227625120
同行经代,14650438,5652000,4431004,12814772,16599278,14115333,4270800,72533625
永明经代,45962575,20312450,13530549,28835640,10849140,12472925,14378442,146341721
合伙转介业务,569265,897000,126600,1755000,574297,0,78000,4000162
ICLUB业务,78000,0,499200,0,27612,0,0,604812
IFA业务,0,0,0,0,0,0,0,0
合计,86180543,124062577,81031033,85896181,56850765,48647799,21662730,504331628

H-件数. 月度批核业绩—永明 (件数),,,,,,,,
📌 issue_ym；仅生效 + carrier=香港永明金融有限公司,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
天领业务,23,19,11,31,28,31,6,149
成事家办,5,2,2,5,11,2,3,30
BK业务,25,67,42,30,16,13,3,196
同行经代,34,14,15,41,39,44,14,201
永明经代,101,65,53,67,29,40,32,387
合伙转介业务,4,2,2,5,4,0,1,18
ICLUB业务,1,0,3,0,2,0,0,6
IFA业务,0,0,0,0,0,0,0,0
合计,193,169,128,179,129,130,59,987

I. KEY ACCOUNT 排名 TOP20 | KA Ranking,,,,,,,,,,
📌 2026批核APE降序TOP20；含未批核/待签/合计列；含合计行,,,,,,,,,,
排名,KEY ACCOUNT,业务细分,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,合计APE,合计件数
1,民生银行,BK业务,187523760,172,12665883,17,1560000,3,201749643,192
2,天誉国际,同行经代,40548180,83,11340287,28,904800,3,52793268,114
3,平安银行,BK业务,40101360,24,12480000,16,0,0,52581360,40
4,唯思,同行经代,39231301,116,5303021,16,675000,2,45209323,134
5,紫荆保险,永明经代,34905947,99,5199600,11,117000,1,40222547,111
6,天领重庆,天领业务,27930657,99,2862368,14,1872000,5,32665025,118
7,利泰丰,同行经代,27818456,9,1010724,4,0,0,28829180,13
8,堡盛国际,永明经代,25872100,67,3687900,12,285000,1,29845000,80
9,万森保险,永明经代,25372064,77,3609762,8,0,0,28981826,85
10,天誉国际(MGA),同行经代,18737595,74,20185483,58,5308500,11,44231578,143
11,个人转介,ICLUB业务,18526812,9,0,0,0,0,18526812,9
12,企鹅保险,永明经代,17822340,65,1586100,5,228000,1,19636440,71
13,天领深圳,天领业务,14995500,9,1560000,1,0,0,16555500,10
14,宏鑫资产,永明经代,12480000,3,0,0,0,0,12480000,3
15,天领成都,天领业务,10555648,40,156000,1,4000000,2,14711648,43
16,万城保险,永明经代,8346600,12,1035052,4,0,0,9381652,16
17,中天家办,永明经代,7221768,18,2770511,10,1610382,2,11602661,30
18,宁波贴牌,天领业务,3939000,9,3003000,3,0,0,6942000,12
19,广西贴牌,天领业务,3324400,14,218400,2,0,0,3542800,16
20,臻略财富,永明经代,3241560,12,2592000,4,159600,1,5993160,17
合计,,,568495049,1011,91266092,214,16720282,32,676481423,1257

J. 同行推荐人分析 | Peer Referral Analysis,,,,,,,,
📌 6人：战略合作/Mark/姜通/高瑶/白博文/魏子璐；按2026批核APE降序,,,,,,,,
推荐人,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,总APE,总件数
姜通,113520630,307,37834823,107,6726300,16,158081753,430
战略合作,39231301,116,5303021,16,675000,2,45209323,134
高瑶,25553144,79,3609762,8,0,0,29162906,87
Mark,13278000,4,0,0,0,0,13278000,4
白博文,10903623,34,5362511,14,2339982,4,18606115,52
魏子璐,1880455,6,0,0,0,0,1880455,6
合计,204367153,546,52110117,145,9741282,22,266218552,713

K. 同行业绩分析 | Peer Channel Analysis,,,,,,,,
📌 segment IN(永明经代，同行经代)；按2026批核APE降序,,,,,,,,
KEY ACCOUNT,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,总APE,总件数
天誉国际,40548180,83,11340287,28,904800,3,52793268,114
唯思,39231301,116,5303021,16,675000,2,45209323,134
紫荆保险,34905947,99,5199600,11,117000,1,40222547,111
利泰丰,27818456,9,1010724,4,0,0,28829180,13
堡盛国际,25872100,67,3687900,12,285000,1,29845000,80
万森保险,25372064,77,3609762,8,0,0,28981826,85
天誉国际(MGA),18737595,74,20185483,58,5308500,11,44231578,143
企鹅保险,17822340,65,1586100,5,228000,1,19636440,71
宏鑫资产,12480000,3,0,0,0,0,12480000,3
万城保险,8346600,12,1035052,4,0,0,9381652,16
中天家办,7221768,18,2770511,10,1610382,2,11602661,30
臻略财富,3241560,12,2592000,4,159600,1,5993160,17
德方集团,2340000,6,0,0,0,0,2340000,6
晋誉财富,1880455,6,0,0,0,0,1880455,6
卓樾会,1647000,3,0,0,0,0,1647000,3
龙腾财富,1446300,4,156000,2,0,0,1602300,6
富仕德,1151400,3,215104,3,0,0,1366504,6
太富,798000,1,0,0,0,0,798000,1
动力势能,570000,1,0,0,0,0,570000,1
巨蚁环球,390000,1,0,0,0,0,390000,1
共享经纪,284294,3,0,0,0,0,284294,3
钜诚保险,181080,2,0,0,0,0,181080,2
裕承资产,156000,1,0,0,570000,1,726000,2
众安国际,117000,1,0,0,0,0,117000,1
时代保险,78000,1,0,0,0,0,78000,1
香港宜达,39815,1,0,0,0,0,39815,1
合计,272677257,669,58691545,165,9858282,23,341227084,857

L-APE. 月度预约业绩—同行 (APE),,,,,,,,
📌 res_ym；排除流失类；⭐ 按该表自身合计APE降序,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
天誉国际,0,1774200,8513030,12321990,13096960,15101687,1985400,52793267
天誉国际(MGA),0,1014000,1900462,6788524,11261110,14799885,8467596,44231577
紫荆保险,4164600,5474400,8007540,5405040,6399780,1661526,117000,31229886
唯思,6078004,2211000,4151600,4519854,3480823,8663640,1297960,30402881
万森保险,1324555,5358761,5461740,2702100,3301069,4485000,1536000,24169225
堡盛国际,5635900,546000,5181600,234000,2832000,4122300,519000,19070800
企鹅保险,3175500,3179100,3629940,1318500,798000,4284900,228000,16613940
中天家办,0,411609,1311000,1599000,1758158,3010290,1916602,10006659
万城保险,0,0,1170000,3639600,3901923,684052,0,9395575
臻略财富,624000,1135560,0,0,0,3294000,159600,5213160
利泰丰,98311,0,482577,0,1104292,0,0,1685180
德方集团,780000,0,780000,0,0,0,0,1560000
富仕德,0,0,0,456000,456000,454504,0,1366504
太富,798000,0,0,0,0,0,0,798000
裕承资产,0,0,0,156000,0,0,570000,726000
龙腾财富,390000,0,0,0,171000,0,156000,717000
动力势能,0,0,0,0,0,570000,0,570000
巨蚁环球,0,0,0,0,0,390000,0,390000
钜诚保险,0,0,0,156000,0,0,0,156000
共享经纪,0,0,0,11294,117000,0,0,128294
众安国际,117000,0,0,0,0,0,0,117000
合计,23185870,21104630,40589489,39307902,48678115,61521784,16953158,251340948

L-件数. 月度预约业绩—同行 (件数),,,,,,,,
📌 同L-APE；行顺序跟随APE子表,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
天誉国际,0,3,24,15,31,34,7,114
天誉国际(MGA),0,4,12,22,38,45,22,143
紫荆保险,15,15,22,9,15,7,1,84
唯思,13,9,12,25,15,20,5,99
万森保险,8,11,17,8,10,13,4,71
堡盛国际,14,2,13,1,7,12,2,51
企鹅保险,10,13,18,2,2,12,1,58
中天家办,0,2,4,3,6,10,4,29
万城保险,0,0,1,8,4,4,0,17
臻略财富,2,5,0,0,0,8,1,16
利泰丰,2,0,2,0,7,0,0,11
德方集团,1,0,1,0,0,0,0,2
富仕德,0,0,0,1,1,4,0,6
太富,1,0,0,0,0,0,0,1
裕承资产,0,0,0,1,0,0,1,2
龙腾财富,1,0,0,0,1,0,2,4
动力势能,0,0,0,0,0,1,0,1
巨蚁环球,0,0,0,0,0,1,0,1
钜诚保险,0,0,0,1,0,0,0,1
共享经纪,0,0,0,1,1,0,0,2
众安国际,1,0,0,0,0,0,0,1
合计,68,64,126,97,138,171,50,714

M-APE. 月度签单业绩—同行 (APE),,,,,,,,
📌 sign_ym；排除排期及流失；⭐ 按该表自身合计APE降序,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
天誉国际,0,994200,8903030,11448650,13287500,13772099,3482988,51888467
天誉国际(MGA),0,1014000,1900462,6788524,10286110,13914585,5019396,38923077
紫荆保险,3415800,5513400,8787540,4548000,6665520,2330826,0,31261086
唯思,2490004,5565000,4541600,4285854,3636823,8684640,679960,29883881
万森保险,856555,2394761,7526040,3898800,3472069,4485000,1536000,24169225
堡盛国际,4676500,1505400,5181600,234000,2052000,4356300,780000,18785800
企鹅保险,2086500,4268100,3629940,1318500,798000,4284900,0,16385940
万城保险,0,0,1170000,2469600,5071923,606052,78000,9395575
中天家办,0,411609,1311000,1560000,1563158,3107490,443020,8396277
臻略财富,624000,1135560,0,0,0,3294000,0,5053560
利泰丰,98311,0,482577,0,1104292,0,0,1685180
德方集团,780000,0,780000,0,0,0,0,1560000
富仕德,0,0,0,456000,456000,454504,0,1366504
太富,798000,0,0,0,0,0,0,798000
龙腾财富,390000,0,0,0,171000,0,156000,717000
动力势能,0,0,0,0,0,570000,0,570000
巨蚁环球,0,0,0,0,0,390000,0,390000
钜诚保险,0,0,0,156000,0,0,0,156000
裕承资产,0,0,0,156000,0,0,0,156000
共享经纪,0,0,0,0,128294,0,0,128294
众安国际,117000,0,0,0,0,0,0,117000
合计,16332670,22802030,44213789,37319928,48692689,60250396,12175364,241786866

M-件数. 月度签单业绩—同行 (件数),,,,,,,,
📌 同M-APE；行顺序跟随APE子表,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
天誉国际,0,2,24,13,32,31,9,111
天誉国际(MGA),0,4,12,22,36,42,16,132
紫荆保险,13,15,24,7,15,10,0,84
唯思,11,11,13,24,15,20,4,98
万森保险,6,9,18,10,11,13,4,71
堡盛国际,11,5,13,1,6,11,3,50
企鹅保险,7,16,18,2,2,12,0,57
万城保险,0,0,1,6,6,3,1,17
中天家办,0,2,4,2,6,10,3,27
臻略财富,2,5,0,0,0,8,0,15
利泰丰,2,0,2,0,7,0,0,11
德方集团,1,0,1,0,0,0,0,2
富仕德,0,0,0,1,1,4,0,6
太富,1,0,0,0,0,0,0,1
龙腾财富,1,0,0,0,1,0,2,4
动力势能,0,0,0,0,0,1,0,1
巨蚁环球,0,0,0,0,0,1,0,1
钜诚保险,0,0,0,1,0,0,0,1
裕承资产,0,0,0,1,0,0,0,1
共享经纪,0,0,0,0,2,0,0,2
众安国际,1,0,0,0,0,0,0,1
合计,56,69,130,90,140,166,42,693

N-APE. 月度批核业绩—同行 (APE),,,,,,,,
📌 issue_ym；仅生效；⭐ 按该表自身合计APE降序,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
天誉国际,0,0,1969200,7538030,16951690,11944260,2145000,40548180
唯思,14650438,5574000,2461804,4794164,4154019,5471073,2125800,39231298
紫荆保险,9072840,5985820,4548000,6977940,4080000,2755703,1485642,34905945
利泰丰,27143998,98311,0,482577,93568,0,0,27818454
堡盛国际,10228200,5635900,1179000,4782600,312000,2231400,1503000,25872100
万森保险,3369600,3001555,2583000,7704900,2783340,2881669,3048000,25372064
天誉国际(MGA),0,0,1497990,2229396,4029728,8332380,2648100,18737594
企鹅保险,2615100,3970800,3401940,4045200,292500,140400,3356400,17822340
宏鑫资产,12480000,0,0,0,0,0,0,12480000
万城保险,0,0,0,2064000,1236300,1626300,3420000,8346600
中天家办,1596000,0,411609,2481000,1155000,954158,624000,7221767
臻略财富,234000,508560,1407000,0,390000,390000,312000,3241560
德方集团,780000,780000,0,780000,0,0,0,2340000
晋誉财富,1880455,0,0,0,0,0,0,1880455
卓樾会,1647000,0,0,0,0,0,0,1647000
龙腾财富,885300,390000,0,0,171000,0,0,1446300
富仕德,0,0,0,0,0,912000,239400,1151400
太富,798000,0,0,0,0,0,0,798000
动力势能,0,0,0,0,0,570000,0,570000
巨蚁环球,0,0,0,0,0,0,390000,390000
共享经纪,156000,0,0,0,117000,11294,0,284294
钜诚保险,25080,0,0,0,156000,0,0,181080
裕承资产,0,0,0,0,156000,0,0,156000
众安国际,117000,0,0,0,0,0,0,117000
时代保险,78000,0,0,0,0,0,0,78000
香港宜达,0,39815,0,0,0,0,0,39815
合计,87757011,25984761,19459543,43879807,36078145,38220637,21297342,272677246

N-件数. 月度批核业绩—同行 (件数),,,,,,,,
📌 同N-APE；行顺序跟随APE子表,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
天誉国际,0,0,4,21,25,26,7,83
唯思,34,13,11,18,14,19,7,116
紫荆保险,25,21,15,17,5,12,4,99
利泰丰,2,2,0,2,3,0,0,9
堡盛国际,27,15,4,12,1,4,4,67
万森保险,13,10,10,16,9,10,9,77
天誉国际(MGA),0,0,7,7,17,33,10,74
企鹅保险,11,14,18,12,1,2,7,65
宏鑫资产,3,0,0,0,0,0,0,3
万城保险,0,0,0,4,3,4,1,12
中天家办,1,0,2,5,5,3,2,18
臻略财富,1,2,4,0,1,1,3,12
德方集团,4,1,0,1,0,0,0,6
晋誉财富,6,0,0,0,0,0,0,6
卓樾会,3,0,0,0,0,0,0,3
龙腾财富,2,1,0,0,1,0,0,4
富仕德,0,0,0,0,0,2,1,3
太富,1,0,0,0,0,0,0,1
动力势能,0,0,0,0,0,1,0,1
巨蚁环球,0,0,0,0,0,0,1,1
共享经纪,1,0,0,0,1,1,0,3
钜诚保险,1,0,0,0,1,0,0,2
裕承资产,0,0,0,0,1,0,0,1
众安国际,1,0,0,0,0,0,0,1
时代保险,1,0,0,0,0,0,0,1
香港宜达,0,1,0,0,0,0,0,1
合计,137,80,75,115,88,118,56,669

O. 银行业绩分析 | Bank Channel Analysis,,,,,,,,
📌 segment=BK业务；按2026批核APE降序,,,,,,,,
KEY ACCOUNT,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,总APE,总件数
民生银行,187523760,172,12665883,17,1560000,3,201749643,192
平安银行,40101360,24,12480000,16,0,0,52581360,40
合计,227625120,196,25145883,33,1560000,3,254331003,232

P-APE. 月度预约业绩—银行 (APE),,,,,,,,
📌 res_ym；排除流失类；⭐ 按该表自身合计APE降序,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
民生银行,6864000,3900000,10530000,4212000,4134000,3424200,1560000,34624200
平安银行,6998160,3463200,4290000,3120000,2730000,6630000,4680000,31911360
合计,13862160,7363200,14820000,7332000,6864000,10054200,6240000,66535560

P-件数. 月度预约业绩—银行 (件数),,,,,,,,
📌 同P-APE；行顺序跟随APE子表,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
民生银行,11,6,19,9,7,10,3,65
平安银行,6,2,3,3,3,8,7,32
合计,17,8,22,12,10,18,10,97

Q-APE. 月度签单业绩—银行 (APE),,,,,,,,
📌 sign_ym；排除排期及流失；⭐ 按该表自身合计APE降序,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
平安银行,10898160,3463200,5070000,2730000,3120000,6630000,4680000,36591360
民生银行,6240000,4914000,8190000,5772000,3744000,4594200,0,33454200
合计,17138160,8377200,13260000,8502000,6864000,11224200,4680000,70045560

Q-件数. 月度签单业绩—银行 (件数),,,,,,,,
📌 同Q-APE；行顺序跟随APE子表,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
平安银行,6,2,4,2,4,8,7,33
民生银行,10,8,14,12,6,13,0,63
合计,16,10,18,14,10,21,7,96

R-APE. 月度批核业绩—银行 (APE),,,,,,,,
📌 issue_ym；仅生效；⭐ 按该表自身合计APE降序,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
民生银行,12799800,84786000,44522400,25662000,14683560,3510000,1560000,187523760
平安银行,5460000,9154080,14177280,1560000,7020000,2730000,0,40101360
合计,18259800,93940080,58699680,27222000,21703560,6240000,1560000,227625120

R-件数. 月度批核业绩—银行 (件数),,,,,,,,
📌 同R-APE；行顺序跟随APE子表,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
民生银行,23,61,37,28,11,9,3,172
平安银行,2,6,5,2,5,4,0,24
合计,25,67,42,30,16,13,3,196

S-APE. 批核业绩—银行各分行 (APE),,,,,,,,
📌 issue_ym；仅生效；行=partner；⭐ 按该表自身合计APE降序,,,,,,,,
合作伙伴(分行),2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
民生广州分行,780000,23790000,4680000,4680000,9379560,780000,0,44089560
民生南京分行,2379000,18642000,780000,13026000,2028000,234000,0,37089000
民生上海分行,4336800,7800000,13650000,2340000,780000,780000,390000,30076800
民生深圳分行,0,15600000,3120000,156000,0,0,0,18876000
民生北京分行,1404000,7800000,7004400,1170000,0,0,0,17378400
平安香港分行徐艳,5460000,4680000,0,0,2730000,1170000,0,14040000
平安香港分行许菁,0,1950000,9360000,780000,0,780000,0,12870000
民生重庆分行,1170000,780000,3510000,2730000,1560000,390000,0,10140000
民生杭州分行,0,1170000,5850000,0,0,0,0,7020000
平安香港分行钟丽丽,0,2134080,4817280,0,0,0,0,6951360
民生香港分行梁驹团队,0,1404000,780000,0,780000,390000,780000,4134000
平安香港分行高凯,0,0,0,780000,3120000,0,0,3900000
民生嘉兴分行,0,1560000,1560000,0,0,0,0,3120000
民生温州分行,780000,1560000,468000,0,0,0,0,2808000
民生合肥分行,1560000,0,0,0,0,624000,390000,2574000
民生武汉分行,0,1560000,0,780000,0,0,0,2340000
民生贵阳分行,390000,0,1560000,0,0,0,0,1950000
民生厦门分行,0,0,1560000,0,0,0,0,1560000
民生沈阳分行,0,1560000,0,0,0,0,0,1560000
民生泉州分行,0,1560000,0,0,0,0,0,1560000
平安香港分行朱慧娟,0,390000,0,0,780000,0,0,1170000
平安香港分行王慧娟,0,0,0,0,0,780000,0,780000
民生上海分行张江支行,0,0,0,780000,0,0,0,780000
平安香港分行高原,0,0,0,0,390000,0,0,390000
